node_id,package_spec,conflicting_nodes
ComfyUI-Allegro,accelerate accelerate==0.33.0,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI-Allegro,numpy numpy==1.24.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-Allegro,torch torch==2.4.1,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI-AutoTrimBG,numpy numpy==1.21.2,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-AutoTrimBG,pillow pillow==8.4.0,ComfyUI-Simple_QR_Codes:pillow==10.4.0; ComfyUI_CrossImageAttention:pillow==10.1.0; objectfusion_comfyui_nodes:pillow==10.4.0; ComfyUI-LivePortrait_v2:pillow==10.4.0; ComfyUI-aichemy-nodes:pillow==10.2.0; ComfyUI-Flowty-TripoSR:pillow==10.1.0; ComfyUI-Turtle_Graphics_Demos:pillow==10.4.0; comfyui-nsfw-detection:pillow==10.3.0; comfyui-colorwheel:pillow==10.4.0; secureapicall:pillow==10.1.0; comfyui-stringsandthings:pillow==10.3.0; comfyui_dagthomas:pillow==10.4.0; Comfyui_CXH_Phi_3.5:pillow==10.3.0; ComfyUI-SmartCrop:pillow==10.3.0; ComfyUI-NSFW-Check:pillow==10.2.0; comfyui_visual_anagrams:pillow==10.1.0; ComfyUI-LivePortrait_v3:pillow==10.4.0; comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0
ComfyUI-AutoTrimBG,torch torch==1.10.0,ComfyUI_CosyVoice:torch==2.3.1; CosyVoice2:torch==2.3.1; ComfyUI_CrossImageAttention:torch==2.0.1; Openrouter-Node:torch==2.0.1; objectfusion_comfyui_nodes:torch==2.4.0; ComfyUI-LivePortrait_v2:torch==2.3.0+cu121; ComfyUI-aichemy-nodes:torch==2.1.2; ComfyUI-Allegro:torch==2.4.1; comfyui_llm_easyanimiate:torch==2.3.0+cu121; comfyui-colorwheel:torch==2.4.1; comfyui-seamless-clone:torch==2.5.1; comfyui-stringsandthings:torch==2.5.1; ComfyUI-StyleStudio:torch==2.1.0; comfyui_visual_anagrams:torch==2.1.1+cu118; FitDiT-ComfyUI:torch==2.4.0; comfyui-structured-outputs:torch==2.5.1; ComfyUI-LivePortrait_v3:torch==2.3.0+cu121
ComfyUI-DeepFuze,numpy numpy==1.26.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-DeepFuze,psutil psutil==5.9.8,comfyui-elegant-resource-monitor:psutil==6.0.0
ComfyUI-DragNUWA,pytorch-lightning pytorch-lightning==2.1.0,Comfyui_face_restorer:pytorch-lightning==1.0.8; ViewCrafter-ComfyUI:pytorch-lightning==1.9.3; ComfyUI-MotionCtrl-SVD:pytorch-lightning==1.9.0; ComfyUI-MotionCtrl:pytorch-lightning==1.9.0; Comfyui_Lama:pytorch-lightning==1.2.9; ComfyUI_Seg_VITON:pytorch-lightning==1.5.0; ComfyUI-PhotoDoodle:pytorch-lightning==1.9.0
ComfyUI-Flowty-LDSR,torchmetrics torchmetrics==0.11.4,comfyui-unianimate-w:torchmetrics==1.3.0.post0; ComfyUI-LivePortrait_v2:torchmetrics==1.5.1; comfyui-idm-vton:torchmetrics==1.4.0; ComfyUI-LivePortrait_v3:torchmetrics==1.5.1
